index,char,frequency
220,Å@,346351
0, ,152821
85,|,26249
13,/,23077
59,_,23065
807,Å_,17431
769,Å^,14242
810,ÅQ,13417
896,ÅP,12820
10,",",9310
12,.,9269
71,l,7418
11,-,6613
5,',6471
84,{,5734
86,},5162
124,Å],4832
228,År,3744
371,ÅR,3729
91,ÅL,3472
227,Åq,3402
811,ÅM,2994
821,Çå,2886
840,§,2876
238,Åk,2723
423,ìÒ,2690
27,=,2671
239,Ål,2656
76,r,2571
125,Å\,2563
872,…,2557
68,i,2263
134,Åå,2204
183,Å‹,1913
162,Å»,1904
221,ÅA,1869
336,Ém,1810
163,Å…,1576
834,Åb,1465
24,:,1425
60,`,1420
850,∞,1356
69,j,1289
89,ÅN,1287
870,∆,1241
818,Çâ,1125
833,Åo,1035
391,éO,1015
404,ò§,1003
1,!,997
838,¢,982
873, ,957
370,Å[,872
835,Åp,865
781,ÅÑ,846
430,êl,845
56,[,822
468,î™,819
57,],805
779,ÅÉ,780
252,Ç≠,739
876,Õ,693
868,ƒ,680
54,Y,676
7,),670
348,É~,639
6,(,617
334,Éj,608
597,úc,599
309,ÉC,589
51,V,587
160,Å⁄,571
839,£,571
21,7,569
762,Åi,566
852,≤,546
192,Ñ§,532
331,Ég,527
809,ÅO,518
2,"""",495
132,Åc,493
763,Åj,493
337,Én,491
184,Ñü,489
190,Ñ¢,480
194,Ñ£,416
768,ÅD,413
518,ô—,403
58,^,398
801,Çu,384
843,ß,377
25,;,368
739,Áà,365
81,x,363
893,ﬁ,345
223,ÅV,344
231,Åu,343
897,Ó˙,343
780,ÅÅ,338
775,ÇV,316
28,>,310
879,–,310
206,Ñ®,308
887,ÿ,290
516,ô ,279
844,®,276
894,ﬂ,273
875,Ã,263
185,Ñ™,262
126,Åe,252
41,L,250
438,ò∏,246
830,Çò,245
49,T,243
407,òß,241
232,Åv,237
65,f,230
174,ÅÜ,230
756,ÅI,228
304,ÅT,211
804,Çx,211
79,v,196
173,ÅÖ,196
406,ò¶,195
503,ô∑,192
837,°,192
878,œ,191
308,ÉB,190
53,X,186
188,Ñ°,181
895,Å ,180
777,ÅF,178
474,ôk,174
202,Ñ¶,172
630,ìl,172
307,ÉA,171
766,ÅC,171
186,Ñ†,161
87,~,158
372,ÅS,156
402,ò¢,144
558,è¨,144
141,áY,141
301,ÇÒ,138
181,Å€,135
583,úM,133
171,ÅÇ,132
246,Ç§,132
851,±,129
259,Çµ,121
587,úT,120
74,o,119
889,⁄,119
323,É\,118
874,À,115
127,Åf,113
271,Çƒ,113
432,êm,109
671,í‹,109
794,Çk,109
848,≠,109
863,ø,108
841,•,105
70,k,102
388,íö,100
131,Åd,95
244,Ç¢,95
387,àÍ,95
222,ÅB,94
568,çH,94
230,Åt,93
345,Éw,93
82,y,88
83,z,88
217,Å¸,88
554,õ~,83
483,ä†,82
815,ÇÜ,82
836,Å`,82
26,<,80
77,t,79
305,ÅU,78
808,Ån,77
823,Çé,77
177,Åº,76
44,O,75
825,Çí,75
420,óπ,74
881,“,74
178,ÅΩ,73
218,Åô,71
504,ôº,70
796,Çm,68
208,Ñ©,67
369,ÅE,65
880,—,64
98,É©,63
229,Ås,63
303,ÅK,63
306,É@,63
256,Ç±,62
15,1,61
799,Çs,58
73,n,57
176,Å‚,56
200,Ñß,54
358,Éä,53
55,Z,52
144,ÓÔ,51
295,ÇË,51
492,ôØ,51
350,ÉÅ,50
557,ê°,50
37,H,48
342,Ét,48
360,Éå,48
445,ë„,48
867,√,48
892,›,48
284,Ç÷,47
819,Çä,47
245,Ç£,46
692,·†,46
817,Çà,46
328,Éc,45
393,â∫,45
436,âÓ,45
778,ÅG,45
832,Çö,45
43,N,44
135,Åç,44
196,Ñ•,44
771,ÇP,42
846,™,42
78,u,41
347,É},40
475,ôq,40
847,¨,40
552,õr,38
820,Çã,38
506,è\,37
414,â≥,36
773,ÇR,36
885,÷,36
890,€,36
172,Åﬂ,35
380,án,35
467,ì¸,34
765,Å{,34
302,ÅJ,33
601,êS,33
861,Ω,33
90,Åã,32
439,ïß,32
695,é¶,32
742,çû,32
9,+,31
39,J,31
63,c,31
187,Ñ´,31
579,õˆ,31
38,I,30
191,Ñ≠,30
213,Å§,30
14,0,29
156,Å„,29
175,Å·,29
268,Ç¡,29
394,ïs,29
797,Çn,29
866,¬,29
195,ÑÆ,28
389,éµ,28
806,Åm,28
860,º,28
869,≈,28
119,ÑT,27
226,ÅZ,27
269,Ç¬,27
367,Éì,27
625,ùT,27
849,Ø,27
349,ÉÄ,26
507,êÁ,26
741,í“,26
826,Çî,26
827,Çï,25
425,â],24
588,òü,24
145,Ó,23
159,áò,23
340,Éq,23
559,è≠,23
614,çÀ,23
713,à,23
828,Çñ,23
884,’,23
189,Ñ¨,22
204,Ñª,22
381,á_,22
446,à»,22
460,ôX,22
509,è°,22
631,ã“,22
767,Å|,22
856,∑,22
67,h,21
139,áW,21
235,Åy,21
265,ÇΩ,21
270,Ç√,21
322,ÉX,21
536,öß,21
566,êÏ,21
658,ãD,21
857,∏,21
865,¡,21
29,?,20
80,w,20
312,ÉG,20
361,Éç,20
512,ñm,20
599,úe,20
4,%,19
273,Ç∆,19
386,áÉ,19
392,è„,19
500,ô∂,19
705,‚ï,19
785,Çb,19
803,Çw,19
888,Ÿ,19
215,Åõ,18
316,ÉL,18
591,ìÛ,18
784,Ç`,18
824,Çè,18
52,W,17
93,Å~,17
669,‡u,17
708,î≥,17
32,C,16
45,P,16
169,ÅÊ,16
170,Å‡,16
249,Ç©,16
325,É^,16
355,ÉÜ,16
359,Éã,16
408,îT,16
472,ôc,16
611,ú˜,16
619,ùI,16
647,üÉ,16
653,íÛ,16
802,Çv,16
853,¥,16
31,A,15
164,Åø,15
